pond,season,bottomSRP,dic,chloride,sulfate,pH,pH_flag,avg_pH,notes
elver,Spring 2023,21.89,12.45,,,8.16,March measurement from 2024,7.83,
elver,Winter 2023,38.93,9.73,251.75,7.14,8.16,March measurement from 2024,7.83,
lakeview,Spring 2023,7.44,58.84,116.51,26.12,8.37,March measurement from 2024,8.71,
lakeview,Winter 2023,0.34,61.19,120.06,18.2,8.37,March measurement from 2024,8.71,
orchid,Spring 2023,2.16,35.5,,,8.64,March measurement from 2024,8.01,
orchid,Winter 2023,0.76,32.06,82.81,9.66,8.64,March measurement from 2024,8.01,
strickers,Fall 2022,25.1,5.71,20.11,1.3,9.63,sept averages from 2023-2025,9.38,
strickers,Spring 2023,2.52,7.52,113,4.41,8.15,March measurement from 2024,9.38,
strickers,Winter 2023,3.02,8.82,84.77,3.48,7.72,Feb measurement from 2024,9.38,
tiedemans,Spring 2023,3.04,8.4,77.06,3.48,8.13,March measurement from 2024,8.91,
tiedemans,Winter 2023,5.4,9.84,94.5,5.1,7.73,Feb measurement from 2024,8.91,
wingra deep,Fall 2022,3.38,35.59,112.7,17.56,8.45,,8.53,AG Sept avg
wingra deep,Spring 2023,1.26,50.39,121.62,18.96,8.36,,8.53,AG march 23
wingra deep,Winter 2023,1.84,33.36,73.99,11.77,8.45,,8.53,AG Jan 23
wingra shallow,Fall 2022,1.58,37.52,111,17.2,8.24,,8.54,AG sept avg
wingra shallow,Spring 2023,1.73,48.65,119.75,19.56,8.22,,8.54,AG march 23
wingra shallow,Winter 2023,2.61,45.9,96.59,16.63,8.51,,8.54,AG Jan 23
