season,pond,InitialP,InitialCl,sediment_mass,srp,srp_flag,nh4_api,chloride,sulfate
spring,elver,0,0,0.2564,19.86,,120.82,3.07,2.07
spring,elver,25,0,0.1937,11.76,,,,
spring,elver,50,0,0.1608,13.78,,100.39,,
spring,elver,75,0,0.151,29.99,,,,
spring,elver,150,0,0.186,27.97,,,,
spring,elver,300,0,0.1583,92.8,,105.61,,
spring,elver,0,50,0.2482,11.76,,99.76,52.32,2.78
spring,elver,25,50,0.3204,17.84,,,,
spring,elver,50,50,0.2878,13.78,,117.12,,
spring,elver,75,50,0.2588,25.94,,,,
spring,elver,150,50,0.0887,82.67,remove,,,
spring,elver,300,50,0.1834,94.83,,0.39,,
spring,elver,0,100,0.1215,19.86,,73.05,103.88,2.63
spring,elver,25,100,0.3137,11.76,,,,3.76
spring,elver,50,100,0.2233,21.88,,148.06,,
spring,elver,75,100,0.3387,15.81,,,,
spring,elver,150,100,0.2537,44.18,,,,
spring,elver,300,100,0.2171,76.59,,113.47,,
spring,elver,0,500,0.219,13.78,,82.75,507.74,3.76
spring,elver,25,500,0.3326,21.88,,,,
spring,elver,50,500,0.2274,36.07,,31.1,,
spring,elver,75,500,0.3771,38.09,,,,
spring,elver,150,500,0.5677,56.33,remove,,,
spring,elver,300,500,0.1239,167.76,,38.87,,
winter,elver,0,0,0.4362,1.13,,,1.78,2.7
winter,elver,25,0,0.3727,17.33,,,,
winter,elver,50,0,0.2481,21.02,,481.818,,
winter,elver,75,0,0.3099,17.33,,,,
winter,elver,150,0,0.2514,22.87,,,,
winter,elver,300,0,0.1795,63.57,,367.774,,
winter,elver,0,50,0.2095,14.376,,389.22,45.64,1.7
winter,elver,25,50,0.2579,13.63,,,,
winter,elver,50,50,0.292,18.267,,569.756,,
winter,elver,75,50,0.2547,22.87,,,,
winter,elver,150,50,0.3424,19.18,,,,
winter,elver,300,50,0.8253,32.12,remove,459.088,,
winter,elver,0,100,0.2629,17.33,,471.741,98.53,2.73
winter,elver,25,100,0.2487,15.48,,,,
winter,elver,50,100,0.3861,13.63,,741.462,,
winter,elver,75,100,0.3743,22.87,,,,
winter,elver,150,100,0.2184,21.02,remove,,,
winter,elver,300,100,0.2369,45.07,,385.329,,
winter,elver,0,500,0.288,4.83,,369.038,514.7,3.06
winter,elver,25,500,0.5638,9.93,,,,
winter,elver,50,500,0.1995,10.987,remove,470.2,,
winter,elver,75,500,0.1968,13.63,remove,,,
winter,elver,150,500,0.3654,8.08,,,,
winter,elver,300,500,0.3875,12.692,,674.294,,
spring,lakeview,0,0,0.2393,7.43,,77.3,1.72,7.88
spring,lakeview,25,0,0.4643,7.43,,,,
spring,lakeview,50,0,0.2339,15.86,,119.51,,
spring,lakeview,75,0,0.3739,9.54,,,,
spring,lakeview,150,0,0.4456,20.08,remove,,,
spring,lakeview,300,0,0.1443,81.2,,45.93,,
spring,lakeview,0,50,0.107,11.65,,93.08,53.13,6.7
spring,lakeview,25,50,0.3265,5.33,,,,
spring,lakeview,50,50,0.2651,9.54,,151.76,,
spring,lakeview,75,50,0.4947,15.86,,,,
spring,lakeview,150,50,0.2223,30.62,remove,,,
spring,lakeview,300,50,0.4181,36.94,,264.09,,
spring,lakeview,0,100,0.4895,9.54,,313.03,100.35,13.14
spring,lakeview,25,100,0.5579,5.33,,,,
spring,lakeview,50,100,0.4916,12.97,,318.95,,
spring,lakeview,75,100,0.3011,17.97,,,,
spring,lakeview,150,100,0.4727,11.65,,,,
spring,lakeview,300,100,0.4331,26.4,,297.38,,
spring,lakeview,0,500,0.4354,3.22,,326.21,481.12,12.43
spring,lakeview,25,500,0.4878,1.11,,,,
spring,lakeview,50,500,0.351,14.84,,265.32,,
spring,lakeview,75,500,0.2137,20.08,,,,
spring,lakeview,150,500,0.3525,28.51,,,,
spring,lakeview,300,500,0.2741,43.26,,223.33,,
winter,lakeview,0,0,0.2798,21.14,,409.516,1.33,2.42
winter,lakeview,25,0,0.5013,29.78,,,,
winter,lakeview,50,0,0.213,31.23,,296.414,,
winter,lakeview,75,0,0.3149,36.99,,,,
winter,lakeview,150,0,0.5129,24.02,,,,
winter,lakeview,300,0,0.3295,55.72,,425.149,,
winter,lakeview,0,50,0.3068,29.78,,319.088,75.33,2.45
winter,lakeview,25,50,0.4388,18.26,,,,
winter,lakeview,50,50,0.5024,22.58,,493.572,,
winter,lakeview,75,50,0.4227,36.99,,,,
winter,lakeview,150,50,0.3367,45.64,,,,
winter,lakeview,300,50,0.2366,123.18,,193.874,,
winter,lakeview,0,100,0.4232,19.7,,324.197,101.41,3.52
winter,lakeview,25,100,0.4029,22.58,,,,
winter,lakeview,50,100,0.4561,22.58,,450.062,,
winter,lakeview,75,100,0.2733,39.87,,,,
winter,lakeview,150,100,0.5368,45.64,remove,,,
winter,lakeview,300,100,0.167,80.22,,206.804,,
winter,lakeview,0,500,0.476,28.34,,504.129,493.67,4.15
winter,lakeview,25,500,0.4536,32.67,,,,
winter,lakeview,50,500,0.2272,32.67,,253.173,,
winter,lakeview,75,500,0.4242,25.46,,,,
winter,lakeview,150,500,0.3353,57.16,,,,
winter,lakeview,300,500,0.4355,74.46,,316.018,,
spring,orchid,0,0,0.4327,48.426,,211.74,1.85,2.65
spring,orchid,25,0,0.4246,35.81,,,,
spring,orchid,50,0,0.3379,52.638,,72.51,,
spring,orchid,75,0,0.161,56.841,,,,
spring,orchid,150,0,0.1153,103.114,remove,,,
spring,orchid,300,0,0.2639,132.56,,119.32,,
spring,orchid,0,50,0.4309,42.123,,308.45,49.14,2.34
spring,orchid,25,50,0.3848,31.598,,,,
spring,orchid,50,50,0.348,40.012,,294.42,,
spring,orchid,75,50,0.2746,58.942,,,,
